Itinerary_ID,Prompt_ID,City,Language,Model,FR_LLM,AR_LLM,FR_Human,AR_Human
Itinerary_01,Hamburg_01,Hamburg,EN,gpt-4.1,,,,
Itinerary_02,Hamburg_01,Hamburg,DE,gpt-4.1,,,,
Itinerary_03,Hamburg_02,Hamburg,EN,gpt-4.1,,,,
Itinerary_04,Hamburg_02,Hamburg,DE,gpt-4.1,,,,
Itinerary_05,Hamburg_03,Hamburg,EN,gpt-4.1,,,,
Itinerary_06,Hamburg_03,Hamburg,DE,gpt-4.1,,,,
Itinerary_07,Berlin_01,Berlin,EN,gpt-4.1,,,,
Itinerary_08,Berlin_01,Berlin,DE,gpt-4.1,,,,
Itinerary_09,Berlin_02,Berlin,EN,gpt-4.1,,,,
Itinerary_10,Berlin_02,Berlin,DE,gpt-4.1,,,,
Itinerary_11,Berlin_03,Berlin,EN,gpt-4.1,,,,
Itinerary_12,Berlin_03,Berlin,DE,gpt-4.1,,,,
Itinerary_13,Hamburg_01,Hamburg,EN,gpt-4.1-mini,,,,
Itinerary_14,Hamburg_01,Hamburg,DE,gpt-4.1-mini,,,,
Itinerary_15,Hamburg_02,Hamburg,EN,gpt-4.1-mini,,,,
Itinerary_16,Hamburg_02,Hamburg,DE,gpt-4.1-mini,,,,
Itinerary_17,Hamburg_03,Hamburg,EN,gpt-4.1-mini,,,,
Itinerary_18,Hamburg_03,Hamburg,DE,gpt-4.1-mini,,,,
Itinerary_19,Berlin_01,Berlin,EN,gpt-4.1-mini,,,,
Itinerary_20,Berlin_01,Berlin,DE,gpt-4.1-mini,,,,
Itinerary_21,Berlin_02,Berlin,EN,gpt-4.1-mini,,,,
Itinerary_22,Berlin_02,Berlin,DE,gpt-4.1-mini,,,,
Itinerary_23,Berlin_03,Berlin,EN,gpt-4.1-mini,,,,
Itinerary_24,Berlin_03,Berlin,DE,gpt-4.1-mini,,,,
