itinerary_id,extracted_num,valid_num,missing_num,satisfied_num,alignment_rate
Itinerary_01,4,4,0,4,1.0
Itinerary_02,5,4,0,2,0.4
Itinerary_03,4,4,0,4,1.0
Itinerary_04,4,4,0,4,1.0
Itinerary_05,6,6,0,6,1.0
Itinerary_06,6,6,0,6,1.0
Itinerary_07,3,3,0,2,0.6666666666666666
Itinerary_08,3,3,0,3,1.0
Itinerary_09,4,4,0,4,1.0
Itinerary_10,5,5,0,5,1.0
Itinerary_11,6,5,1,4,0.5714285714285714
Itinerary_12,6,6,1,6,0.8571428571428571
Itinerary_13,5,4,0,4,0.8
Itinerary_14,5,4,1,3,0.5
Itinerary_15,4,4,0,4,1.0
Itinerary_16,4,4,0,4,1.0
Itinerary_17,5,5,0,5,1.0
Itinerary_18,6,6,0,6,1.0
Itinerary_19,3,3,0,2,0.6666666666666666
Itinerary_20,3,2,1,2,0.5
Itinerary_21,4,4,0,4,1.0
Itinerary_22,4,4,0,4,1.0
Itinerary_23,7,4,4,3,0.2727272727272727
Itinerary_24,5,4,1,4,0.6666666666666666
Itinerary_25,5,4,1,3,0.5
Itinerary_26,6,4,1,3,0.42857142857142855
Itinerary_27,4,4,0,4,1.0
Itinerary_28,4,4,0,4,1.0
Itinerary_29,6,6,0,6,1.0
Itinerary_30,6,6,0,6,1.0
Itinerary_31,3,3,0,2,0.6666666666666666
Itinerary_32,3,3,0,3,1.0
Itinerary_33,6,6,0,6,1.0
Itinerary_34,5,5,0,5,1.0
Itinerary_35,6,6,0,4,0.6666666666666666
Itinerary_36,6,5,1,2,0.2857142857142857
Itinerary_37,5,5,0,5,1.0
Itinerary_38,4,3,0,3,0.75
Itinerary_39,3,3,0,3,1.0
Itinerary_40,3,3,0,3,1.0
Itinerary_41,5,5,0,5,1.0
Itinerary_42,6,6,0,6,1.0
Itinerary_43,3,3,1,2,0.5
Itinerary_44,3,3,0,2,0.6666666666666666
Itinerary_45,6,6,0,6,1.0
Itinerary_46,6,6,0,6,1.0
Itinerary_47,5,2,3,2,0.25
Itinerary_48,5,4,0,4,0.8
