itinerary_id,total,addr_provided_count,addr_fail_count,fail_rate
Itinerary_01,7,5,0,0.0
Itinerary_02,9,8,0,0.0
Itinerary_03,7,6,1,0.16666666666666666
Itinerary_04,6,4,0,0.0
Itinerary_05,8,5,1,0.2
Itinerary_06,9,7,1,0.14285714285714285
Itinerary_07,4,3,0,0.0
Itinerary_08,5,4,0,0.0
Itinerary_09,6,5,1,0.2
Itinerary_10,6,5,1,0.2
Itinerary_11,10,8,0,0.0
Itinerary_12,14,10,1,0.1
Itinerary_13,6,5,1,0.2
Itinerary_14,6,3,1,0.3333333333333333
Itinerary_15,5,4,0,0.0
Itinerary_16,5,4,1,0.25
Itinerary_17,8,8,0,0.0
Itinerary_18,6,5,1,0.2
Itinerary_19,4,2,0,0.0
Itinerary_20,4,2,0,0.0
Itinerary_21,5,5,4,0.8
Itinerary_22,7,5,3,0.6
Itinerary_23,8,5,0,0.0
Itinerary_24,9,7,0,0.0
Itinerary_25,7,4,0,0.0
Itinerary_26,7,5,0,0.0
Itinerary_27,6,5,0,0.0
Itinerary_28,7,5,1,0.2
Itinerary_29,8,6,0,0.0
Itinerary_30,7,7,1,0.14285714285714285
Itinerary_31,4,3,0,0.0
Itinerary_32,4,3,0,0.0
Itinerary_33,6,6,1,0.16666666666666666
Itinerary_34,6,5,2,0.4
Itinerary_35,11,8,0,0.0
Itinerary_36,13,9,0,0.0
Itinerary_37,7,6,1,0.16666666666666666
Itinerary_38,6,4,1,0.25
Itinerary_39,5,4,0,0.0
Itinerary_40,4,3,1,0.3333333333333333
Itinerary_41,7,6,0,0.0
Itinerary_42,7,6,2,0.3333333333333333
Itinerary_43,4,3,0,0.0
Itinerary_44,4,2,0,0.0
Itinerary_45,5,4,3,0.75
Itinerary_46,7,5,1,0.2
Itinerary_47,7,6,1,0.16666666666666666
Itinerary_48,9,8,0,0.0
